Member_number,Date,itemDescription,year,month,day,day_of_week
4049,8/01/2015,whole milk,2015,1,8,3
4906,17/07/2014,beef,2014,7,17,3
3763,27/06/2015,beef,2015,6,27,5
4675,16/01/2015,rolls/buns,2015,1,16,4
2777,24/05/2015,Instant food products,2015,5,24,6
1115,31/07/2014,root vegetables,2014,7,31,3
4217,18/12/2015,yogurt,2015,12,18,4
4650,14/12/2014,shopping bags,2014,12,14,6
1901,5/04/2015,butter,2015,4,5,6
3980,16/09/2015,rolls/buns,2015,9,16,2
2742,10/10/2015,coffee,2015,10,10,5
4390,15/11/2014,margarine,2014,11,15,5
1883,31/05/2014,misc. beverages,2014,5,31,5
3165,1/11/2015,rolls/buns,2015,11,1,6
2256,21/08/2015,domestic eggs,2015,8,21,4
3405,13/04/2015,ice cream,2015,4,13,0
1743,12/01/2014,specialty bar,2014,1,12,6
4371,6/02/2014,chocolate,2014,2,6,3
2884,5/08/2015,cream cheese ,2015,8,5,2
3378,13/01/2015,canned beer,2015,1,13,1
1118,13/05/2015,rolls/buns,2015,5,13,2
1456,7/01/2014,hygiene articles,2014,1,7,1
2131,27/08/2015,sausage,2015,8,27,3
1608,14/01/2014,fruit/vegetable juice,2014,1,14,1
3972,5/04/2014,rice,2014,4,5,5
4109,12/05/2014,rolls/buns,2014,5,12,0
3322,13/08/2014,rolls/buns,2014,8,13,2
4860,22/02/2014,rolls/buns,2014,2,22,5
2025,31/05/2014,cake bar,2014,5,31,5
4453,11/07/2014,whole milk,2014,7,11,4
4473,26/06/2015,packaged fruit/vegetables,2015,6,26,4
3101,9/02/2014,newspapers,2014,2,9,6
3916,22/05/2014,onions,2014,5,22,3
4492,25/11/2014,butter milk,2014,11,25,1
2823,17/10/2014,yogurt,2014,10,17,4
1211,11/09/2014,margarine,2014,9,11,3
4581,4/03/2015,soda,2015,3,4,2
3872,19/03/2015,whole milk,2015,3,19,3
3911,30/07/2015,sausage,2015,7,30,3
2840,27/01/2015,cat food,2015,1,27,1
4007,13/03/2015,cream cheese ,2015,3,13,4
4458,27/01/2014,pip fruit,2014,1,27,0
2861,25/10/2014,dessert,2014,10,25,5
1962,4/05/2015,hygiene articles,2015,5,4,0
1407,29/04/2015,bottled beer,2015,4,29,2
2758,12/07/2014,rolls/buns,2014,7,12,5
4959,30/06/2015,frozen vegetables,2015,6,30,1
2966,10/08/2014,cream cheese ,2014,8,10,6
3245,17/05/2015,newspapers,2015,5,17,6
4014,27/05/2014,yogurt,2014,5,27,1
3893,1/08/2014,canned beer,2014,8,1,4
2728,8/02/2015,butter milk,2015,2,8,6
3980,16/09/2015,root vegetables,2015,9,16,2
1686,15/05/2014,canned beer,2014,5,15,3
1422,13/05/2014,fruit/vegetable juice,2014,5,13,1
2504,14/08/2015,tropical fruit,2015,8,14,4
4975,11/02/2015,whole milk,2015,2,11,2
4574,10/03/2015,frozen vegetables,2015,3,10,1
2079,25/02/2014,other vegetables,2014,2,25,1
1373,28/04/2014,soda,2014,4,28,0
2077,15/05/2015,butter,2015,5,15,4
1629,6/08/2015,frozen dessert,2015,8,6,3
4033,25/02/2014,whipped/sour cream,2014,2,25,1
3958,3/04/2015,rolls/buns,2015,4,3,4
2270,6/09/2015,seasonal products,2015,9,6,6
3232,18/12/2015,other vegetables,2015,12,18,4
2557,29/01/2014,rolls/buns,2014,1,29,2
2854,2/08/2015,candy,2015,8,2,6
4821,28/11/2015,tropical fruit,2015,11,28,5
3721,12/10/2014,bottled beer,2014,10,12,6
1495,1/08/2014,other vegetables,2014,8,1,4
1547,3/09/2014,whole milk,2014,9,3,2
2314,28/07/2014,whole milk,2014,7,28,0
3484,15/05/2015,white bread,2015,5,15,4
1988,30/03/2014,whipped/sour cream,2014,3,30,6
4435,17/10/2014,domestic eggs,2014,10,17,4
2916,19/04/2015,pastry,2015,4,19,6
3119,22/01/2014,salty snack,2014,1,22,2
1539,4/07/2015,frankfurter,2015,7,4,5
4310,7/07/2014,whole milk,2014,7,7,0
2560,26/11/2015,beef,2015,11,26,3
1566,6/03/2014,newspapers,2014,3,6,3
1737,5/09/2015,other vegetables,2015,9,5,5
1333,4/03/2015,frozen vegetables,2015,3,4,2
3917,14/02/2014,soda,2014,2,14,4
1676,29/03/2014,soda,2014,3,29,5
4134,5/05/2015,packaged fruit/vegetables,2015,5,5,1
3909,16/09/2014,tropical fruit,2014,9,16,1
4718,6/12/2015,pork,2015,12,6,6
3760,3/07/2014,red/blush wine,2014,7,3,3
2332,14/09/2014,bathroom cleaner,2014,9,14,6
2719,4/10/2015,whole milk,2015,10,4,6
1723,21/07/2014,shopping bags,2014,7,21,0
3719,9/03/2015,cleaner,2015,3,9,0
2961,27/05/2015,abrasive cleaner,2015,5,27,2
1143,27/01/2015,spread cheese,2015,1,27,1
3716,10/08/2015,sausage,2015,8,10,0
1293,16/08/2014,canned beer,2014,8,16,5
1048,10/06/2015,rolls/buns,2015,6,10,2
3729,29/11/2015,salty snack,2015,11,29,6
4717,5/03/2015,pip fruit,2015,3,5,3
3636,14/05/2015,whole milk,2015,5,14,3
3417,9/02/2014,rolls/buns,2014,2,9,6
3434,6/10/2015,chicken,2015,10,6,1
3982,28/01/2015,liquor (appetizer),2015,1,28,2
4075,12/02/2014,brown bread,2014,2,12,2
4582,22/06/2014,newspapers,2014,6,22,6
1932,7/06/2014,bottled beer,2014,6,7,5
2832,29/07/2014,meat spreads,2014,7,29,1
1358,29/12/2015,vinegar,2015,12,29,1
4183,10/12/2014,sausage,2014,12,10,2
3228,26/01/2015,organic sausage,2015,1,26,0
4179,21/03/2015,cat food,2015,3,21,5
2548,28/05/2014,flour,2014,5,28,2
1038,23/04/2015,herbs,2015,4,23,3
1279,9/10/2015,whole milk,2015,10,9,4
4700,3/04/2015,soda,2015,4,3,4
2155,11/11/2014,frozen vegetables,2014,11,11,1
1303,28/10/2014,tropical fruit,2014,10,28,1
4032,8/10/2015,other vegetables,2015,10,8,3
2269,26/05/2014,bottled water,2014,5,26,0
2755,30/10/2014,salty snack,2014,10,30,3
3268,11/06/2015,canned beer,2015,6,11,3
4759,20/02/2015,frankfurter,2015,2,20,4
4753,11/08/2015,beef,2015,8,11,1
1312,9/02/2014,skin care,2014,2,9,6
1324,7/10/2015,bottled water,2015,10,7,2
1533,11/07/2015,other vegetables,2015,7,11,5
4469,18/10/2015,chocolate,2015,10,18,6
2523,1/12/2015,dog food,2015,12,1,1
1098,8/05/2015,citrus fruit,2015,5,8,4
2156,5/08/2014,domestic eggs,2014,8,5,1
3367,27/02/2014,long life bakery product,2014,2,27,3
2476,24/08/2014,coffee,2014,8,24,6
3843,9/06/2014,tropical fruit,2014,6,9,0
3953,13/05/2015,pip fruit,2015,5,13,2
4397,4/03/2015,yogurt,2015,3,4,2
1243,1/08/2014,soda,2014,8,1,4
4090,6/03/2014,shopping bags,2014,3,6,3
4576,8/05/2015,canned fish,2015,5,8,4
4573,10/10/2015,margarine,2015,10,10,5
4684,2/07/2014,soda,2014,7,2,2
1870,9/09/2015,hamburger meat,2015,9,9,2
1444,6/06/2015,syrup,2015,6,6,5
4778,26/04/2015,oil,2015,4,26,6
3832,1/12/2014,whole milk,2014,12,1,0
4012,16/05/2015,pork,2015,5,16,5
4063,11/12/2015,pastry,2015,12,11,4
3206,11/05/2014,instant coffee,2014,5,11,6
1846,29/11/2015,sausage,2015,11,29,6
3765,4/01/2014,tropical fruit,2014,1,4,5
1225,26/03/2015,dessert,2015,3,26,3
1092,27/07/2015,grapes,2015,7,27,0
1032,23/08/2015,root vegetables,2015,8,23,6
2065,20/07/2014,specialty bar,2014,7,20,6
2328,22/02/2015,other vegetables,2015,2,22,6
4299,2/08/2015,shopping bags,2015,8,2,6
4674,15/05/2014,salty snack,2014,5,15,3
2427,1/08/2015,butter,2015,8,1,5
4119,2/12/2015,citrus fruit,2015,12,2,2
2079,25/02/2014,napkins,2014,2,25,1
1052,13/10/2014,whole milk,2014,10,13,0
2917,27/05/2014,yogurt,2014,5,27,1
3515,21/04/2015,root vegetables,2015,4,21,1
3201,24/01/2015,whole milk,2015,1,24,5
4493,5/05/2014,whole milk,2014,5,5,0
3763,2/04/2014,sparkling wine,2014,4,2,2
2790,30/12/2015,other vegetables,2015,12,30,2
4187,5/09/2015,dog food,2015,9,5,5
3571,21/10/2015,tropical fruit,2015,10,21,2
3255,24/05/2015,root vegetables,2015,5,24,6
2042,17/04/2014,shopping bags,2014,4,17,3
1716,8/11/2014,meat,2014,11,8,5
1447,6/05/2014,other vegetables,2014,5,6,1
3498,3/07/2014,zwieback,2014,7,3,3
2862,6/02/2014,shopping bags,2014,2,6,3
4794,10/02/2014,beverages,2014,2,10,0
1320,10/07/2014,coffee,2014,7,10,3
2993,16/08/2014,misc. beverages,2014,8,16,5
3553,6/01/2015,domestic eggs,2015,1,6,1
4302,8/03/2015,instant coffee,2015,3,8,6
2430,28/01/2014,pastry,2014,1,28,1
3399,25/05/2014,rolls/buns,2014,5,25,6
2796,17/10/2015,rolls/buns,2015,10,17,5
3859,30/09/2015,nuts/prunes,2015,9,30,2
2978,6/05/2015,condensed milk,2015,5,6,2
1679,19/08/2014,brown bread,2014,8,19,1
3710,22/08/2015,whole milk,2015,8,22,5
3469,5/10/2015,hamburger meat,2015,10,5,0
4995,16/03/2014,dish cleaner,2014,3,16,6
4634,15/05/2015,soda,2015,5,15,4
3291,14/01/2014,newspapers,2014,1,14,1
3690,21/05/2015,pork,2015,5,21,3
2210,9/07/2015,rolls/buns,2015,7,9,3
4012,16/05/2015,frozen potato products,2015,5,16,5
3460,24/07/2015,curd,2015,7,24,4
4106,3/06/2015,grapes,2015,6,3,2
3164,24/03/2014,white bread,2014,3,24,0
1152,20/04/2015,frozen meals,2015,4,20,0
3228,26/01/2015,other vegetables,2015,1,26,0
3948,20/02/2014,waffles,2014,2,20,3
2657,21/05/2015,bottled beer,2015,5,21,3
3050,5/06/2015,white bread,2015,6,5,4
4991,19/05/2014,shopping bags,2014,5,19,0
4272,6/06/2015,berries,2015,6,6,5
1866,15/02/2015,whole milk,2015,2,15,6
4381,25/08/2014,rolls/buns,2014,8,25,0
4372,30/07/2015,pork,2015,7,30,3
1672,10/07/2015,whole milk,2015,7,10,4
1778,26/11/2014,photo/film,2014,11,26,2
2857,18/04/2015,tropical fruit,2015,4,18,5
4340,8/06/2015,pork,2015,6,8,0
4222,27/05/2015,flour,2015,5,27,2
3299,9/06/2014,waffles,2014,6,9,0
2547,4/06/2015,frankfurter,2015,6,4,3
4050,3/07/2014,UHT-milk,2014,7,3,3
3981,25/12/2015,finished products,2015,12,25,4
2943,1/01/2014,flower (seeds),2014,1,1,2
3104,6/04/2015,spread cheese,2015,4,6,0
4875,15/04/2014,salt,2014,4,15,1
3887,24/09/2014,pork,2014,9,24,2
2757,16/12/2015,butter,2015,12,16,2
1389,18/02/2015,rolls/buns,2015,2,18,2
2492,5/11/2015,other vegetables,2015,11,5,3
3308,11/05/2014,light bulbs,2014,5,11,6
3200,27/10/2014,yogurt,2014,10,27,0
3797,16/09/2015,whole milk,2015,9,16,2
4169,19/03/2015,frankfurter,2015,3,19,3
3660,21/09/2014,yogurt,2014,9,21,6
2662,8/03/2014,pickled vegetables,2014,3,8,5
4292,12/05/2015,frozen vegetables,2015,5,12,1
2191,22/10/2014,red/blush wine,2014,10,22,2
1608,11/10/2015,frozen vegetables,2015,10,11,6
3175,26/02/2015,cream cheese ,2015,2,26,3
4326,29/09/2015,rolls/buns,2015,9,29,1
2870,25/02/2015,pastry,2015,2,25,2
3703,24/03/2015,rolls/buns,2015,3,24,1
4592,28/03/2014,other vegetables,2014,3,28,4
3030,12/06/2014,other vegetables,2014,6,12,3
4265,3/08/2014,bottled water,2014,8,3,6
3115,29/10/2014,brown bread,2014,10,29,2
4180,21/04/2014,white bread,2014,4,21,0
2687,16/12/2014,curd,2014,12,16,1
1561,28/03/2014,yogurt,2014,3,28,4
3410,20/01/2014,cream cheese ,2014,1,20,0
1517,9/11/2014,ice cream,2014,11,9,6
1275,5/07/2015,root vegetables,2015,7,5,6
3356,1/12/2015,whole milk,2015,12,1,1
1538,3/08/2015,sausage,2015,8,3,0
3111,30/10/2014,grapes,2014,10,30,3
1001,2/07/2014,rolls/buns,2014,7,2,2
4146,4/11/2014,root vegetables,2014,11,4,1
3844,27/06/2015,other vegetables,2015,6,27,5
2851,17/02/2015,butter,2015,2,17,1
2113,9/07/2015,bottled water,2015,7,9,3
4892,1/09/2015,pork,2015,9,1,1
2171,31/03/2015,rolls/buns,2015,3,31,1
4376,5/02/2014,rolls/buns,2014,2,5,2
2524,21/10/2015,herbs,2015,10,21,2
4467,23/04/2015,pork,2015,4,23,3
4692,29/08/2014,root vegetables,2014,8,29,4
4999,4/09/2014,semi-finished bread,2014,9,4,3
3393,11/07/2015,newspapers,2015,7,11,5
2484,20/06/2015,UHT-milk,2015,6,20,5
2076,13/10/2014,bottled beer,2014,10,13,0
2763,31/05/2014,shopping bags,2014,5,31,5
2898,23/07/2014,pasta,2014,7,23,2
4747,24/08/2015,frankfurter,2015,8,24,0
1053,16/05/2014,waffles,2014,5,16,4
2121,22/04/2014,flower (seeds),2014,4,22,1
2231,12/03/2015,bottled water,2015,3,12,3
3827,30/09/2015,tropical fruit,2015,9,30,2
3942,4/04/2015,condensed milk,2015,4,4,5
3255,11/05/2015,newspapers,2015,5,11,0
3195,14/06/2015,pork,2015,6,14,6
2581,8/02/2014,canned beer,2014,2,8,5
4127,4/11/2015,domestic eggs,2015,11,4,2
4782,31/05/2015,canned beer,2015,5,31,6
4692,27/10/2015,sweet spreads,2015,10,27,1
1734,15/02/2015,frozen vegetables,2015,2,15,6
4855,4/09/2014,onions,2014,9,4,3
4243,15/01/2014,sugar,2014,1,15,2
2777,24/05/2015,pastry,2015,5,24,6
1296,23/11/2015,yogurt,2015,11,23,0
3593,9/10/2015,other vegetables,2015,10,9,4
3651,31/07/2015,cream cheese ,2015,7,31,4
3775,3/06/2014,whole milk,2014,6,3,1
2287,23/09/2015,yogurt,2015,9,23,2
1229,26/07/2014,mustard,2014,7,26,5
3255,11/05/2015,tropical fruit,2015,5,11,0
1574,18/04/2015,other vegetables,2015,4,18,5
4577,11/04/2015,domestic eggs,2015,4,11,5
2408,19/05/2015,dessert,2015,5,19,1
3662,12/03/2015,whole milk,2015,3,12,3
4440,3/01/2014,newspapers,2014,1,3,4
1133,21/03/2014,coffee,2014,3,21,4
2616,24/10/2014,newspapers,2014,10,24,4
2746,13/02/2014,dental care,2014,2,13,3
4080,23/04/2014,whipped/sour cream,2014,4,23,2
4798,21/11/2015,yogurt,2015,11,21,5
2202,28/09/2015,frozen meals,2015,9,28,0
2299,8/04/2014,shopping bags,2014,4,8,1
2790,3/03/2014,berries,2014,3,3,0
3030,5/02/2014,dish cleaner,2014,2,5,2
4515,1/11/2015,whole milk,2015,11,1,6
3505,10/11/2015,domestic eggs,2015,11,10,1
4539,31/03/2014,brown bread,2014,3,31,0
3583,21/03/2014,other vegetables,2014,3,21,4
2362,23/11/2015,brown bread,2015,11,23,0
2365,29/11/2014,misc. beverages,2014,11,29,5
1785,15/07/2015,brown bread,2015,7,15,2
2010,1/06/2014,yogurt,2014,6,1,6
4986,28/01/2015,frozen meals,2015,1,28,2
2386,10/04/2015,pork,2015,4,10,4
1754,7/08/2015,flour,2015,8,7,4
1465,23/01/2014,brown bread,2014,1,23,3
4140,1/02/2014,newspapers,2014,2,1,5
3604,13/09/2014,yogurt,2014,9,13,5
4723,22/05/2015,tropical fruit,2015,5,22,4
4105,12/03/2015,whole milk,2015,3,12,3
2132,30/01/2014,sugar,2014,1,30,3
2633,7/10/2015,white wine,2015,10,7,2
3726,26/05/2015,hard cheese,2015,5,26,1
2784,13/11/2015,tropical fruit,2015,11,13,4
2038,14/10/2014,rolls/buns,2014,10,14,1
2230,24/07/2014,soda,2014,7,24,3
3781,23/09/2015,frankfurter,2015,9,23,2
3890,21/12/2014,frozen potato products,2014,12,21,6
2833,14/08/2015,whipped/sour cream,2015,8,14,4
2761,31/01/2014,other vegetables,2014,1,31,4
3899,22/04/2014,white bread,2014,4,22,1
4944,10/03/2015,other vegetables,2015,3,10,1
4338,25/01/2015,pip fruit,2015,1,25,6
1196,15/08/2014,newspapers,2014,8,15,4
2556,3/06/2014,soda,2014,6,3,1
4636,26/03/2014,pastry,2014,3,26,2
3862,14/03/2014,dental care,2014,3,14,4
2348,28/02/2015,citrus fruit,2015,2,28,5
3116,6/12/2014,pot plants,2014,12,6,5
4801,10/03/2014,misc. beverages,2014,3,10,0
4455,30/06/2015,turkey,2015,6,30,1
3337,14/05/2015,citrus fruit,2015,5,14,3
4939,14/10/2015,citrus fruit,2015,10,14,2
3054,17/02/2015,bottled beer,2015,2,17,1
4433,25/05/2015,yogurt,2015,5,25,0
4544,1/07/2015,whole milk,2015,7,1,2
3066,20/09/2014,other vegetables,2014,9,20,5
3629,11/05/2014,citrus fruit,2014,5,11,6
2687,8/09/2014,shopping bags,2014,9,8,0
2408,11/10/2014,brown bread,2014,10,11,5
3929,11/06/2015,pork,2015,6,11,3
4298,25/07/2015,root vegetables,2015,7,25,5
2331,13/10/2014,hygiene articles,2014,10,13,0
2663,30/03/2014,packaged fruit/vegetables,2014,3,30,6
3141,1/04/2014,frozen vegetables,2014,4,1,1
1949,4/11/2015,napkins,2015,11,4,2
4556,17/08/2015,hard cheese,2015,8,17,0
2568,22/09/2015,flour,2015,9,22,1
4500,25/10/2014,pickled vegetables,2014,10,25,5
4663,24/02/2014,fruit/vegetable juice,2014,2,24,0
2823,8/07/2014,pastry,2014,7,8,1
3665,23/09/2015,citrus fruit,2015,9,23,2
4096,29/06/2015,seasonal products,2015,6,29,0
4650,7/12/2014,rolls/buns,2014,12,7,6
4512,3/07/2015,butter,2015,7,3,4
4284,14/10/2015,sausage,2015,10,14,2
3847,31/07/2014,canned beer,2014,7,31,3
2567,22/07/2014,grapes,2014,7,22,1
3138,13/10/2014,curd,2014,10,13,0
1551,5/11/2015,onions,2015,11,5,3
4868,14/06/2014,bottled beer,2014,6,14,5
2788,8/10/2014,salty snack,2014,10,8,2
3577,2/07/2014,sugar,2014,7,2,2
1852,3/04/2014,whole milk,2014,4,3,3
4820,18/01/2015,chocolate,2015,1,18,6
3310,9/09/2014,soda,2014,9,9,1
3347,24/04/2015,margarine,2015,4,24,4
4107,2/05/2015,mustard,2015,5,2,5
4489,24/05/2014,bottled water,2014,5,24,5
2533,21/09/2014,other vegetables,2014,9,21,6
1038,21/02/2015,sausage,2015,2,21,5
3575,24/01/2015,whole milk,2015,1,24,5
4662,27/06/2015,brown bread,2015,6,27,5
3137,18/10/2014,coffee,2014,10,18,5
4636,4/10/2015,frozen fish,2015,10,4,6
1660,15/06/2014,sliced cheese,2014,6,15,6
2980,17/01/2014,cleaner,2014,1,17,4
1830,16/01/2015,other vegetables,2015,1,16,4
1428,18/01/2015,whole milk,2015,1,18,6
3221,16/01/2014,bottled water,2014,1,16,3
1539,27/09/2015,pip fruit,2015,9,27,6
1421,26/12/2014,shopping bags,2014,12,26,4
2174,18/09/2014,cereals,2014,9,18,3
2746,16/09/2014,salty snack,2014,9,16,1
3604,15/04/2015,frozen fish,2015,4,15,2
3931,19/07/2014,ham,2014,7,19,5
3414,22/05/2014,whipped/sour cream,2014,5,22,3
2955,21/03/2014,sausage,2014,3,21,4
2433,31/07/2015,whole milk,2015,7,31,4
4223,15/06/2015,liver loaf,2015,6,15,0
4324,20/09/2014,bottled water,2014,9,20,5
2129,18/03/2015,whole milk,2015,3,18,2
2633,14/02/2015,brown bread,2015,2,14,5
3352,13/06/2015,yogurt,2015,6,13,5
1331,29/11/2015,root vegetables,2015,11,29,6
1150,12/04/2015,fruit/vegetable juice,2015,4,12,6
2975,25/10/2014,canned beer,2014,10,25,5
2086,18/06/2014,sparkling wine,2014,6,18,2
1741,20/12/2015,napkins,2015,12,20,6
3691,8/08/2015,bottled water,2015,8,8,5
4964,18/07/2015,frankfurter,2015,7,18,5
1177,14/10/2015,canned beer,2015,10,14,2
2531,24/08/2014,herbs,2014,8,24,6
1352,3/03/2014,tropical fruit,2014,3,3,0
2986,11/03/2014,whole milk,2014,3,11,1
2410,12/06/2014,dish cleaner,2014,6,12,3
3102,28/11/2014,shopping bags,2014,11,28,4
3165,18/08/2015,herbs,2015,8,18,1
2312,26/03/2015,other vegetables,2015,3,26,3
2863,3/12/2014,frankfurter,2014,12,3,2
3417,15/12/2015,sugar,2015,12,15,1
2855,17/01/2014,coffee,2014,1,17,4
3775,27/10/2015,root vegetables,2015,10,27,1
4503,26/11/2015,coffee,2015,11,26,3
2758,30/06/2014,whole milk,2014,6,30,0
4916,3/01/2015,detergent,2015,1,3,5
4708,11/09/2014,pastry,2014,9,11,3
1605,13/11/2014,canned beer,2014,11,13,3
4608,1/05/2015,fruit/vegetable juice,2015,5,1,4
1940,14/02/2015,beef,2015,2,14,5
4495,4/08/2015,white bread,2015,8,4,1
2618,9/06/2014,misc. beverages,2014,6,9,0
4373,8/12/2015,beef,2015,12,8,1
4170,7/11/2015,fruit/vegetable juice,2015,11,7,5
4741,12/10/2014,fruit/vegetable juice,2014,10,12,6
2055,14/12/2014,sausage,2014,12,14,6
3651,24/01/2015,pet care,2015,1,24,5
2010,19/12/2015,yogurt,2015,12,19,5
1900,15/03/2014,vinegar,2014,3,15,5
1610,26/05/2015,yogurt,2015,5,26,1
1664,4/01/2015,curd,2015,1,4,6
3538,2/01/2014,waffles,2014,1,2,3
4031,1/03/2015,frankfurter,2015,3,1,6
3903,10/06/2015,rolls/buns,2015,6,10,2
3107,16/11/2015,napkins,2015,11,16,0
4940,21/08/2015,coffee,2015,8,21,4
1372,5/04/2014,cream cheese ,2014,4,5,5
2631,29/09/2014,hair spray,2014,9,29,0
4285,29/12/2015,rolls/buns,2015,12,29,1
4722,16/12/2015,bottled water,2015,12,16,2
4745,4/01/2014,cat food,2014,1,4,5
3468,14/11/2015,canned beer,2015,11,14,5
4826,28/01/2015,ham,2015,1,28,2
2485,18/05/2015,other vegetables,2015,5,18,0
3965,30/12/2014,tropical fruit,2014,12,30,1
3699,23/08/2015,brown bread,2015,8,23,6
3433,22/08/2015,berries,2015,8,22,5
3668,18/12/2015,root vegetables,2015,12,18,4
3103,26/02/2014,misc. beverages,2014,2,26,2
1428,18/10/2014,long life bakery product,2014,10,18,5
2142,25/06/2015,hard cheese,2015,6,25,3
1004,2/04/2014,pip fruit,2014,4,2,2
3716,11/10/2015,tropical fruit,2015,10,11,6
3793,12/10/2014,brown bread,2014,10,12,6
2337,4/03/2014,tropical fruit,2014,3,4,1
3889,23/12/2014,soda,2014,12,23,1
4004,5/10/2015,ham,2015,10,5,0
1582,6/10/2014,shopping bags,2014,10,6,0
1001,5/02/2015,frankfurter,2015,2,5,3
1061,9/05/2015,whole milk,2015,5,9,5
2952,25/11/2015,whole milk,2015,11,25,2
2978,27/08/2014,pot plants,2014,8,27,2
4772,22/06/2014,house keeping products,2014,6,22,6
1418,30/06/2014,citrus fruit,2014,6,30,0
4323,20/09/2014,detergent,2014,9,20,5
4192,9/12/2015,chewing gum,2015,12,9,2
2383,1/02/2015,yogurt,2015,2,1,6
2837,11/05/2014,soap,2014,5,11,6
4117,24/04/2014,candy,2014,4,24,3
4293,23/04/2015,whole milk,2015,4,23,3
2699,18/04/2015,whole milk,2015,4,18,5
4407,6/06/2014,liquor (appetizer),2014,6,6,4
2480,20/09/2015,soda,2015,9,20,6
2153,14/12/2014,domestic eggs,2014,12,14,6
1930,7/07/2014,finished products,2014,7,7,0
1893,22/07/2014,salt,2014,7,22,1
3368,3/09/2015,domestic eggs,2015,9,3,3
4835,28/10/2015,pip fruit,2015,10,28,2
1949,4/11/2015,rolls/buns,2015,11,4,2
1461,21/12/2015,bottled water,2015,12,21,0
4384,25/05/2015,chicken,2015,5,25,0
3518,8/10/2014,candy,2014,10,8,2
3931,3/08/2015,bottled beer,2015,8,3,0
2760,4/01/2014,whole milk,2014,1,4,5
2259,6/01/2014,processed cheese,2014,1,6,0
3686,4/01/2015,soda,2015,1,4,6
1375,10/11/2015,other vegetables,2015,11,10,1
3459,21/06/2014,pastry,2014,6,21,5
2806,19/01/2014,whipped/sour cream,2014,1,19,6
3394,13/12/2015,sausage,2015,12,13,6
1198,31/01/2015,newspapers,2015,1,31,5
4360,27/09/2014,margarine,2014,9,27,5
1776,3/02/2015,yogurt,2015,2,3,1
3258,24/09/2014,bottled water,2014,9,24,2
3445,15/02/2015,beverages,2015,2,15,6
3767,6/06/2015,bottled beer,2015,6,6,5
2226,9/06/2014,sliced cheese,2014,6,9,0
2539,23/11/2014,yogurt,2014,11,23,6
1821,21/05/2015,napkins,2015,5,21,3
1571,17/11/2014,bottled beer,2014,11,17,0
1399,4/05/2014,other vegetables,2014,5,4,6
2027,10/09/2014,cling film/bags,2014,9,10,2
3358,9/09/2014,pudding powder,2014,9,9,1
3268,18/04/2015,margarine,2015,4,18,5
1624,2/04/2015,mustard,2015,4,2,3
1371,5/11/2015,beef,2015,11,5,3
3588,5/05/2015,citrus fruit,2015,5,5,1
1003,15/10/2014,root vegetables,2014,10,15,2
1890,4/12/2014,pork,2014,12,4,3
3762,20/08/2015,sausage,2015,8,20,3
3584,7/03/2014,other vegetables,2014,3,7,4
2732,26/02/2014,salty snack,2014,2,26,2
1852,14/07/2014,soda,2014,7,14,0
2818,22/11/2015,whole milk,2015,11,22,6
3754,22/01/2015,whole milk,2015,1,22,3
2273,26/10/2015,bottled beer,2015,10,26,0
1430,1/12/2014,soda,2014,12,1,0
2175,17/03/2014,soft cheese,2014,3,17,0
2349,14/03/2014,liquor,2014,3,14,4
3175,18/11/2014,processed cheese,2014,11,18,1
4250,17/01/2014,pet care,2014,1,17,4
3244,20/11/2015,newspapers,2015,11,20,4
3408,11/05/2015,bottled water,2015,5,11,0
4949,18/08/2015,frozen fish,2015,8,18,1
4408,2/01/2014,frozen fish,2014,1,2,3
4002,30/04/2015,sausage,2015,4,30,3
2505,10/10/2015,butter,2015,10,10,5
1628,2/10/2014,whole milk,2014,10,2,3
4441,11/09/2015,hygiene articles,2015,9,11,4
3384,23/07/2014,sugar,2014,7,23,2
1499,3/06/2015,rolls/buns,2015,6,3,2
1584,31/01/2015,whole milk,2015,1,31,5
3090,11/04/2015,other vegetables,2015,4,11,5
1002,26/04/2014,whole milk,2014,4,26,5
3757,23/10/2014,frozen vegetables,2014,10,23,3
3846,8/04/2014,decalcifier,2014,4,8,1
3561,26/05/2014,brown bread,2014,5,26,0
3953,13/05/2014,red/blush wine,2014,5,13,1
3227,3/01/2014,spices,2014,1,3,4
2685,10/07/2015,bottled water,2015,7,10,4
3135,13/03/2015,sausage,2015,3,13,4
1817,15/11/2014,beef,2014,11,15,5
2483,14/08/2014,pip fruit,2014,8,14,3
4695,9/09/2015,pork,2015,9,9,2
2092,17/12/2014,bottled water,2014,12,17,2
4596,22/04/2014,beverages,2014,4,22,1
4710,5/09/2015,root vegetables,2015,9,5,5
4234,8/02/2015,rolls/buns,2015,2,8,6
1888,6/06/2015,sliced cheese,2015,6,6,5
3361,28/06/2015,beverages,2015,6,28,6
3205,9/05/2014,chewing gum,2014,5,9,4
1929,14/04/2014,yogurt,2014,4,14,0
3276,23/02/2015,whole milk,2015,2,23,0
3373,5/09/2014,brown bread,2014,9,5,4
2625,24/09/2014,pork,2014,9,24,2
2492,11/01/2015,other vegetables,2015,1,11,6
4214,10/07/2015,citrus fruit,2015,7,10,4
3904,5/11/2015,curd,2015,11,5,3
2961,21/07/2015,canned beer,2015,7,21,1
1202,22/07/2015,root vegetables,2015,7,22,2
2020,19/11/2015,sausage,2015,11,19,3
1748,26/08/2014,butter,2014,8,26,1
